 '数据挖掘',91,大数据
 '熟练',90,大数据
 '维护',90,大数据
 '编写',89,大数据
 '框架',88,大数据
 '合作',87,大数据
 '数据处理',86,大数据
 '管理',85,大数据
 '建模',83,大数据
 '计算机',82,大数据
 'linux',81,大数据
 '建设',81,大数据
 '语言',80,大数据
'岗位职责',79,大数据
 '熟练掌握',77,大数据
 'etl',75,大数据
 '规划',75,大数据
 '精神',74,大数据
 '一种',73,大数据
 '组件',73,大数据
 '至少',72,大数据
 '工具',72,大数据
 'sql',72,大数据
 '服务',70,大数据
 '性能',68,大数据
 '分布式',68,大数据
 '文档',68,大数据
 '存储',68,大数据
 '计算',66,大数据
 '研究',66,大数据
 '运维',65,大数据
 '实施',64,大数据
 '常用',64,大数据
 '新',64,大数据
 '包括',63,大数据
 '发展',63,大数据
 '基础',62,大数据
 '编程',62,大数据
 'mysql',62,大数据
 '海量',62,大数据
 '架构设计',61,大数据
 '挖掘',61,大数据
 '理解',60,大数据
 '测试',60,大数据
 '解决',59,大数据
 '搭建',58,大数据
 '方案',58,大数据
 '模型',58,大数据
 '流程',58,大数据
 '调优',57,大数据
 'storm',57,大数据
 '岗位',56,大数据
 '开发',5209,开发工程师
 '熟悉',4132,开发工程师
 '经验',3122,开发工程师
 '工作',2368,开发工程师
 '能力',2351,开发工程师
 '技术',2300,开发工程师
 '设计',2035,开发工程师
 '相关',1859,开发工程师
 '优先',1681,开发工程师
 '项目',1661,开发工程师
 '负责',1619,开发工程师
 '数据库',1442,开发工程师
 '系统',1410,开发工程师
 '框架',1339,开发工程师
 '熟练',1131,开发工程师
 '产品',1114,开发工程师
 'java',1070,开发工程师
 '年',1046,开发工程师
 '需求',1026,开发工程师
 '精通',999,开发工程师
 '团队',970,开发工程师
 '编写',900,开发工程师
 '优化',889,开发工程师
 '代码',866,开发工程师
 '公司',846,开发工程师
 '沟通',844,开发工程师
 '具备',839,开发工程师
 '文档',839,开发工程师
 '分析',816,开发工程师
 '参与',775,开发工程师
 '以上学历',770,开发工程师
 '前端',769,开发工程师
 '专业',746,开发工程师
 '熟练掌握',734,开发工程师
 '编程',733,开发工程师
 'mysql',707,开发工程师
 '强',691,开发工程师
 '数据',676,开发工程师
 '维护',647,开发工程师
 '独立',626,开发工程师
 'web',619,开发工程师
 '平台',584,开发工程师
 '软件',580,开发工程师
 'sql',573,开发工程师
 '学习',564,开发工程师
 '测试',562,开发工程师
 '中',560,开发工程师
 '常用',557,开发工程师
 '语言',541,开发工程师
 '架构',540,开发工程师
 '模块',535,开发工程师
 '业务',532,开发工程师
 '性能',532,开发工程师
 'spring',510,开发工程师
 'android',507,开发工程师
'岗位职责',487,开发工程师
 '功能',451,开发工程师
 '解决',449,开发工程师
 'oracle',445,开发工程师
 '编码',443,开发工程师
 'linux',439,开发工程师
 'javascript',438,开发工程师
 '主流',437,开发工程师
 '合作',435,开发工程师
 '基础',431,开发工程师
 '本科',421,开发工程师
 '计算机',401,开发工程师
 '至少',399,开发工程师
 '精神',388,开发工程师
 '研发',384,开发工程师
 '新',383,开发工程师
 '一种',377,开发工程师
 '提供',369,开发工程师
 '端',367,开发工程师
 'css',366,开发工程师
 '规范',359,开发工程师
 '责任心',355,开发工程师
 '工具',340,开发工程师
 'jquery',332,开发工程师
 '过程',328,开发工程师
 '岗位',322,开发工程师
 'html',321,开发工程师
 '扎实',317,开发工程师
 '计算机相关',316,开发工程师
 'redis',313,开发工程师
 '理解',309,开发工程师
 '管理',309,开发工程师
 'net',300,开发工程师
 'js',288,开发工程师
 '服务',284,开发工程师
 '协作',279,开发工程师
 '习惯',278,开发工程师
 '设计模式',275,开发工程师
 '较强',274,开发工程师
 '软件开发',273,开发工程师
 'mybatis',269,开发工程师
 '开源',266,开发工程师
 'vue',265,开发工程师
 '调试',258,开发工程师
 'php',257,开发工程师
 '运营',11838,运营
 '工作',7940,运营
 '能力',7400,运营
 '负责',6742,运营
 '推广',6562,运营
 '产品',6030,运营
 '经验',5669,运营
 '店铺',5663,运营
 '平台',5218,运营
 '公司',5191,运营
 '活动',5174,运营
 '数据',5104,运营
 '分析',4359,运营
 '管理',4045,运营
 '熟悉',3683,运营
 '营销',3481,运营
 '销售',3358,运营
 '策划',3294,运营
 '优化',3267,运营
 '相关',3228,运营
 '优先',3153,运营
 '团队',3126,运营
 '强',2886,运营
 '沟通',2708,运营
 '制定',2686,运营
 '年',2505,运营
 '用户',2401,运营
 '电商',2204,运营
 '方案',2167,运营
 '数据分析',2041,运营
 '以上学历',1994,运营
 '执行',1918,运营
 '具备',1895,运营
 '日常',1852,运营
 '维护',1831,运营
 '提升',1811,运营
 '内容',1810,运营
 '媒体',1754,运营
 '计划',1743,运营
 '市场',1739,运营
 '目标',1713,运营
 '行业',1704,运营
 '客户',1634,运营
 '淘宝',1626,运营
 '新',1603,运营
 '员工',1590,运营
 '提高',1541,运营
 '提供',1484,运营
 '操作',1402,运营
 '效果',1378,运营
 '策略',1367,运营
 '站',1341,运营
 '专业',1335,运营
 '合作',1334,运营
 '定期',1330,运营
 '资源',1312,运营
 '大专',1281,运营
 '独立',1263,运营
 '渠道',1224,运营
 '天猫',1209,运营
'岗位职责',1192,运营
 '商品',1184,运营
 '品牌',1182,运营
 '网站',1176,运营
 '发展',1163,运营
 '较强',1151,运营
 '福利',1133,运营
 '需求',1118,运营
 '组织',1116,运营
 '提出',1113,运营
 '协调',1110,运营
 '规则',1097,运营
 '学习',1084,运营
 '培训',1067,运营
 '电子商务',1060,运营
 '流程',1057,运营
 '责任心',1050,运营
 '业务',1029,运营
 '京东',1015,运营
 '部门',1004,运营
 '调整',1003,运营
 '00',1002,运营
 '项目',990,运营
 '熟练',984,运营
 '流量',973,运营
 '微信',963,运营
 '情况',958,运营
 '互联网',950,运营
 '信息',941,运营
 '阿里巴巴',926,运营
 '善于',918,运营
 '规划',915,运营
 '视频',915,运营
 '跟踪',908,运营
 '包括',902,运营
 '工具',900,运营
 '岗位',892,运营
 '精神',885,运营
 '转化率',874,运营
 '直播',868,运营
 '开发',874,软件工程
 '熟悉',706,软件工程
 '经验',606,软件工程
 '工作',507,软件工程
 '相关',495,软件工程
 '能力',432,软件工程
 '优先',329,软件工程
 '设计',310,软件工程
 '技术',308,软件工程
 '负责',299,软件工程
 '项目',295,软件工程
 '软件',293,软件工程
 '系统',264,软件工程
 '数据库',219,软件工程
 '编程',215,软件工程
 '编写',205,软件工程
 '团队',197,软件工程
 '专业',197,软件工程
 '文档',193,软件工程
 '产品',191,软件工程
 '年',182,软件工程
 '公司',181,软件工程
 '以上学历',179,软件工程
 '熟练',176,软件工程
 '具备',168,软件工程
 '分析',165,软件工程
 '沟通',162,软件工程
 '语言',160,软件工程
 '精通',158,软件工程
 'c',149,软件工程
 '软件开发',146,软件工程
 'c++',145,软件工程
 '学习',142,软件工程
 '计算机',139,软件工程
 '需求',132,软件工程
 'sql',128,软件工程
 '维护',124,软件工程
 'c#',121,软件工程
 '代码',119,软件工程
 '强',119,软件工程
 '熟练掌握',118,软件工程
 '本科',117,软件工程
 '测试',114,软件工程
 '调试',113,软件工程
 '参与',108,软件工程
 'java',108,软件工程
 '自动化',106,软件工程
 '独立',105,软件工程
 '合作',98,软件工程
 'linux',96,软件工程
 '精神',95,软件工程
 '模块',95,软件工程
 '优化',95,软件工程
 '框架',92,软件工程
 'net',91,软件工程
 '协议',90,软件工程
 '平台',86,软件工程
 'oracle',85,软件工程
 'mysql',84,软件工程
 '中',84,软件工程
'岗位职责',81,软件工程
 '算法',80,软件工程
 '数据',80,软件工程
 '设备',80,软件工程
 '常用',79,软件工程
 '架构',77,软件工程
 '一种',72,软件工程
 '过程',68,软件工程
 '责任心',65,软件工程
 '嵌入式',64,软件工程
 '通讯',63,软件工程
 '研发',63,软件工程
 '规范',62,软件工程
 '解决',62,软件工程
 '较强',62,软件工程
 '电子',61,软件工程
 '功能',61,软件工程
 '环境',60,软件工程
 '至少',57,软件工程
 '基础',55,软件工程
 '新',54,软件工程
 '视觉',54,软件工程
 '福利',54,软件工程
 '通信',53,软件工程
 '编码',53,软件工程
 '数据结构',52,软件工程
 '提供',52,软件工程
 '网络',51,软件工程
 '管理',50,软件工程
 '配合',50,软件工程
' ',49,软件工程
 '单片机',49,软件工程
 '协作',49,软件工程
 '硬件',49,软件工程
 '原理',49,软件工程
 '主流',46,软件工程
 'web',46,软件工程
 '培训',45,软件工程
 'windows',45,软件工程
 '员工',45,软件工程
 '工作',787,运维
 '负责',626,运维
 '系统',590,运维
 '熟悉',572,运维
 '维护',512,运维
 '能力',503,运维
 '运维',491,运维
 '经验',476,运维
 '相关',425,运维
 '管理',355,运维
 '公司',314,运维
 '网络',305,运维
 '优先',300,运维
 '日常',270,运维
 '服务器',259,运维
 '技术',234,运维
 '数据库',230,运维
 '具备',211,运维
 '沟通',210,运维
 '配置',200,运维
 '专业',197,运维
 '安装',196,运维
 '故障',192,运维
 'linux',182,运维
 '业务',182,运维
 '监控',178,运维
 '年',175,运维
 '设备',173,运维
 '团队',172,运维
 '以上学历',170,运维
 '服务',165,运维
 '客户',161,运维
 '项目',160,运维
 '部署',160,运维
 '平台',159,运维
 '运行',157,运维
 '实施',153,运维
 '分析',153,运维
 '强',152,运维
 '优化',151,运维
 '数据',145,运维
 '软件',144,运维
 '计算机',143,运维
 '开发',135,运维
 'it',126,运维
 '环境',114,运维
 '熟练',114,运维
 '操作系统',113,运维
 '产品',111,运维
 '解决',109,运维
 '培训',105,运维
 '学习',104,运维
 '文档',103,运维
'岗位职责',99,运维
 '操作',96,运维
 '主流',96,运维
 '机房',94,运维
 '责任心',91,运维
 'sql',90,运维
 'mysql',90,运维
 '云',86,运维
 '需求',85,运维
 '较强',85,运维
 '硬件',85,运维
 '大专',85,运维
 '协助',84,运维
 '独立',82,运维
 'windows',82,运维
 '用户',80,运维
 '流程',80,运维
 '意识',77,运维
 '提供',77,运维
 '工具',76,运维
 '调试',75,运维
 '精通',75,运维
 '编写',72,运维
 '网络设备',70,运维
 '办公',70,运维
 'oracle',69,运维
 '精神',69,运维
 '自动化',68,运维
 '合作',67,运维
 '协调',65,运维
 '岗位',64,运维
 '现场',64,运维
 '性能',63,运维
 '基础',63,运维
 '部门',63,运维
 '熟练掌握',63,运维
 '包括',62,运维
 '常用',62,运维
 '方案',60,运维
 '数据中心',60,运维
 '知识',60,运维
 '架构',60,运维
 '各类',59,运维
 '搭建',58,运维
 '计算机相关',57,运维
 '定期',57,运维
 '员工',57,运维
 '数据库',673,数据库
 '熟悉',262,数据库
 '经验',242,数据库
 '工作',233,数据库
 '负责',219,数据库
 '能力',191,数据库
 '开发',182,数据库
 'sql',175,数据库
 '数据',162,数据库
 '相关',157,数据库
 '管理',155,数据库
 'oracle',150,数据库
 '优化',147,数据库
 '系统',133,数据库
 '设计',132,数据库
 '优先',128,数据库
 '维护',126,数据库
 '技术',121,数据库
 '性能',114,数据库
 '精通',113,数据库
 'mysql',110,数据库
 '项目',97,数据库
 '具备',89,数据库
 '年',86,数据库
 '备份',84,数据库
 '日常',81,数据库
 '公司',80,数据库
 '运维',80,数据库
 '分析',78,数据库
 '业务',76,数据库
 '编写',73,数据库
 '沟通',72,数据库
 'linux',69,数据库
 '实施',69,数据库
 '调优',69,数据库
 '存储',68,数据库
 '团队',67,数据库
 '架构',66,数据库
 '熟练',63,数据库
 '专业',62,数据库
 '恢复',62,数据库
 '以上学历',58,数据库
 '过程',56,数据库
 '故障',54,数据库
 '需求',53,数据库
 '方案',53,数据库
 '监控',52,数据库
 '提供',50,数据库
 '安装',48,数据库
 '规划',47,数据库
 '强',43,数据库
 '操作系统',43,数据库
 '配置',42,数据库
 '服务',42,数据库
 '熟练掌握',42,数据库
 '高',41,数据库
 '学习',41,数据库
'岗位职责',41,数据库
 '运行',41,数据库
 '产品',41,数据库
 '文档',40,数据库
 '部署',40,数据库
 'etl',39,数据库
 '工具',38,数据库
 '环境',37,数据库
 '培训',37,数据库
 '迁移',36,数据库
 '架构设计',35,数据库
 '脚本',35,数据库
 '参与',34,数据库
 '主流',34,数据库
 '原理',34,数据库
 '本科',34,数据库
 '中',34,数据库
 '数据库系统',33,数据库
 '编程',33,数据库
 '精神',32,数据库
 '计算机',32,数据库
 '可用',32,数据库
 '建设',32,数据库
 '客户',31,数据库
 '体系',30,数据库
 '制定',30,数据库
 '福利',30,数据库
 '操作',30,数据库
 '数据仓库',29,数据库
 '平台',29,数据库
 '计算机相关',29,数据库
 '独立',29,数据库
 '责任心',29,数据库
 'shell',28,数据库
 '岗位',28,数据库
 '语句',27,数据库
 '合作',26,数据库
 'unix',26,数据库
 '较强',25,数据库
 '分布式',25,数据库
 '软件',24,数据库
 '语言',24,数据库
 'server',23,数据库
 '开发',354,java
 '熟悉',346,java
 '经验',278,java
 '技术',239,java
 '工作',209,java
 '能力',186,java
 '设计',183,java
 'java',173,java
 '相关',158,java
 '框架',151,java
 '项目',140,java
 '优先',136,java
 '数据库',133,java
 '负责',131,java
 '系统',117,java
 '年',99,java
 'spring',98,java
 '公司',95,java
 '熟练',92,java
 '编写',87,java
 '需求',87,java
 '团队',84,java
 '代码',78,java
 '优化',78,java
 'mysql',76,java
 '专业',72,java
 '具备',71,java
 '产品',70,java
 '文档',70,java
 '分析',68,java
 '以上学历',66,java
 '沟通',63,java
 '熟练掌握',61,java
 '参与',61,java
 '精通',58,java
 '强',56,java
 'oracle',56,java
 '中',54,java
 '软件',53,java
 'sql',53,java
 '维护',51,java
 '常用',50,java
 '架构',49,java
 '服务',49,java
 '平台',49,java
 '业务',48,java
 '基础',48,java
 '管理',47,java
 'linux',47,java
 '学习',46,java
 '模块',46,java
 '解决',46,java
 'mybatis',46,java
 '本科',45,java
 'redis',44,java
 '提供',42,java
 '编程',40,java
 '主流',40,java
 '功能',38,java
 '独立',37,java
 '数据',37,java
 '性能',36,java
 'tomcat',35,java
 '计算机相关',35,java
 '研发',34,java
 '高',34,java
 '精神',34,java
 'j2ee',33,java
 '测试',33,java
 '合作',33,java
 '扎实',33,java
 '编码',33,java
 '福利',33,java
 'jquery',32,java
 '核心',32,java
 '质量',31,java
 '分布式',31,java
'岗位职责',31,java
 '开源',31,java
 'web',30,java
 '语言',30,java
 '理解',29,java
 '服务器',28,java
 '软件开发',28,java
 '计算机',27,java
 '责任心',27,java
 'html',26,java
 '原理',26,java
 'springmvc',26,java
 'javascript',26,java
 '并发',26,java
 '配置',25,java
 '工具',25,java
 '规范',24,java
 '缓存',24,java
 'hibernate',24,java
 '较强',24,java
 '架构设计',24,java
 'css',24,java
 '前端',24,java
 '测试',1711,测试
 '工作',565,测试
 '熟悉',531,测试
 '经验',422,测试
 '能力',416,测试
 '产品',373,测试
 '相关',312,测试
 '分析',270,测试
 '编写',270,测试
 '负责',256,测试
 '优先',251,测试
 '项目',242,测试
 '自动化',241,测试
 '测试用例',240,测试
 '性能',209,测试
 '设计',195,测试
 '年',181,测试
 '流程',173,测试
 '沟通',173,测试
 '团队',166,测试
 '软件测试',155,测试
 '专业',155,测试
 '需求',155,测试
 '以上学历',151,测试
 '开发',148,测试
 '公司',143,测试
 '执行',141,测试
 '强',140,测试
 '具备',138,测试
 '测试计划',135,测试
 '测试报告',132,测试
 '熟练',131,测试
 '数据库',127,测试
 '软件',127,测试
 '系统',126,测试
 '测试工具',120,测试
 '方案',115,测试
 '中',112,测试
 '文档',110,测试
 '质量',109,测试
 '技术',108,测试
 '缺陷',103,测试
 '跟踪',103,测试
 '工具',99,测试
 '制定',97,测试
 '方法',93,测试
 '独立',93,测试
 '参与',87,测试
 '本科',85,测试
 'bug',84,测试
 '责任心',83,测试
 '学习',82,测试
 '数据',81,测试
 '维护',81,测试
'岗位职责',81,测试
 '管理',79,测试
 '过程',78,测试
 '脚本',76,测试
 '常用',76,测试
 '功能',75,测试
 '解决',75,测试
 '测试环境',73,测试
 '搭建',72,测试
 'linux',72,测试
 '计算机',70,测试
 'sql',69,测试
 '协助',68,测试
 '测试方法',67,测试
 '提交',66,测试
 '较强',66,测试
 '规范',66,测试
 '合作',66,测试
 '员工',65,测试
 '发现',64,测试
 '设备',64,测试
 '提供',63,测试
 '福利',62,测试
 '接口',61,测试
 '精神',60,测试
 '至少',60,测试
 '功能测试',59,测试
 '熟练掌握',58,测试
 '操作',58,测试
 '研发',58,测试
 '报告',58,测试
 '培训',57,测试
 'app',57,测试
 '电子',56,测试
 '实施',55,测试
 'java',55,测试
 '一种',55,测试
 'mysql',54,测试
 '检测',52,测试
 '改进',52,测试
 '理论',52,测试
 '测试数据',52,测试
 'web',51,测试
 '推动',51,测试
 '标准',51,测试
 '岗位',51,测试
